"participant","contact","period","estcon"
64,64,"9. Lockdown 3 + schools",0.376490695
80,64,"9. Lockdown 3 + schools",0.536125467
4,80,"9. Lockdown 3 + schools",0.082065639
14,80,"9. Lockdown 3 + schools",0.217831105
24,80,"9. Lockdown 3 + schools",0.147424099
34,80,"9. Lockdown 3 + schools",0.125293517
44,80,"9. Lockdown 3 + schools",0.162832437
54,80,"9. Lockdown 3 + schools",0.295852416
64,80,"9. Lockdown 3 + schools",0.277937001
80,80,"9. Lockdown 3 + schools",0.289473924
